artist_name,track_name,release_date,genre,lyrics
Shawn Mendes,Treat You Better,2016,Alternative Rock,"I won't lie to you
I know he's just not right for you
And you can tell me if I'm off, but I see it on your face
When you say that he's the one that you want
And you're spending all your time in this wrong situation
And anytime you want it to stop

I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me, why are we wasting time
On all your wasted cryin'
When you should be with me instead?
I know I can treat you better
Better than he can

I'll stop time for you
The second you say you'd like me to
I just wanna give you the loving that you're missing
Baby, just to wake up with you
Would be everything I need and this could be so different
Tell me what you want to do

'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me, why are we wasting time
On all your wasted cryin'
When you should be with me instead?
I know I can treat you better
Better than he can

Better than he can

Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down

'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me, why are we wasting time
On all your wasted cryin'
When you should be with me instead?
I know I can treat you better
Better than he can

Better than he can
Better than he can"
LP,Lost On You,2015,Alternative Rock,"When you get older, plainer, saner
Will you remember all the danger we came from?
Burnin' like embers, falling, tender
Longing for the days of no surrender, years ago
And will you know?

So smoke 'em if you got 'em 'cause it's goin' down
All I ever wanted was you
I'll never get to heaven 'cause I don't know how
Let's raise a glass or two

To all the things I've lost on you, oh
Tell me, are they lost on you? Oh
Just that you could cut me loose, oh
After everything I've lost on you, is that lost on you?

Oh-oh
Oh, is that lost on you?
Oh-oh
Baby, is that lost on you? Is that lost on you?

Wish that I could see the machinations
Understand the toil of expectations in your mind
Hold me like you never lost your patience
Tell me that you love me more than hate me all the time
And you're still mine

So smoke 'em if you got 'em 'cause it's goin' down
All I ever wanted was you
Let's take a drink of heaven, this can turn around
Let's raise a glass or two

To all the things I've lost on you, oh
Tell me, are they lost on you? Oh
Just that you could cut me loose, oh
After everything I've lost on you, is that lost on you?

Oh-oh
Oh, is that lost on you?
Oh-oh
Baby, is that lost on you? Is that lost on you?

(Lost on you)
(Lost on you)
(Woah, woah, woah)

Let's raise a glass or two

To all the things I've lost on you, oh (Lost on you)
Tell me, are they lost on you? Oh (Lost on, lost on)
Just that you could cut me loose, oh
After everything I've lost on you, is that lost on you?
Is that lost on you?

(Ooh)
(Ooh)
(Ooh)
(Ooh)"
Weezer,Say It Ain’t So,1994,Alternative Rock,"Oh, yeah
Alright

Somebody's Heine
Is crowding my icebox
Somebody's cold one
Is giving me chills
Guess I'll just close my eyes

Oh, yeah
Alright
Feels good
Inside

Flip on the telly
Wrestle with Jimmy
Somethin' is bubblin'
Behind my back
The bottle is ready to blow

Say it ain't so
Your drug is a heartbreaker
Say it ain't so
My love is a life taker

I can't confront you
I never could do
That which might hurt you
So try and be cool
When I say
""This way
Is a water slide away from me that takes you further every day""
So be cool

Say it ain't so
Your drug is a heartbreaker
Say it ain't so
My love is a life taker

Dear daddy, I write you
In spite of years of silence
You've cleaned up, found Jesus
Things are good, or so I hear
This bottle of Steven's
Awakens ancient feelin's
Like father, stepfather
The son is drowning in the flood
Yeah, yeah-yeah, yeah-yeah


Say it ain't so
Your drug is a heartbreaker
Say it ain't so
My love is a life taker"
blink-182,All the Small Things,1999,Alternative Rock,"All the small things
True care, truth brings
I'll take one lift
Your ride, best trip
Always, I know
You'll be at my show
Watching, waiting
Commiserating

Say it ain't so, I will not go
Turn the lights off, carry me home

Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na

Late night, come home
Work sucks, I know
She left me roses by the stairs
Surprises let me know she cares

Just say it ain't so, I will not go
Turn the lights off, carry me home

Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na
Na-na, na-na, na-na, na-na, na, na


Say it ain't so, I will not go
Turn the lights off, carry me home
Keep your head still, I'll be your thrill
The night will go on, my little windmill

(
Na-na, na-na, na-na, na-na, na, na
)
Say it ain't so, I will not go
(
Na-na, na-na, na-na, na-na, na, na
)
Turn the lights off, carry me home
(
Na-na, na-na, na-na, na-na, na, na
)
Keep your head still, I'll be your thrill
(
Na-na, na-na, na-na, na-na, na, na
)
The night will go on, the night will go on, my little windmill"
Gorillaz,Clint Eastwood,2001,Alternative Rock,"Hoo-hoo-hoo-hoo-hoo

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
The future is coming on
I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
The future is coming on
It's coming on, it's coming on (Poof, right)
It's coming on, it's coming on (Yeah, haha)

Finally, someone let me out of my cage
Now time for me is nothing 'cause I'm countin' no age
Nah, I couldn't be there, now you shouldn't be scared
I'm good at repairs (It's all simple) and I'm under each snare
Intangible (Ah, y'all), bet you didn't think, so I command you to
Panoramic view (View?), look, I'll make it all manageable
Pick and choose, sit and lose, all you different crews
Chicks and dudes, who you think is really kickin' tunes?
Picture you getting down in a picture tube
Like you lit the fuse, you think it's fictional?
Mystical? Maybe, spiritual hero
Who appears in you to clear your view (Yeah) when you're too crazy?
Lifeless, to know the definition for what life is
Priceless to you because I put you on the hype shit
You like it? Gun smokin', righteous with one toke
Get psychic among those, possess you with one dose

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
The future is coming on
I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
The future is coming on 
(That's right)
It's coming on, it's coming on
It's coming on, it's coming on

The essence, the basics, without it, you naked
Allow me to make this childlike in nature
Rhythm, you have it or you don't, that's a fallacy
I'm in them, every sproutin' tree, every child of peace
Every cloud and sea, you see with your eyes
I see destruction and demise, corruption in disguise 
(That's right)
From this fuckin' enterprise, now I'm sucked into your lies
Through Russel, not his muscles
But percussion he provides for me as a guide, y'all can see me now
'Cause you don't see with your eye, you perceive with your mind
That's the inner (Fuck 'em) so I'ma stick around with Russ and be a mentor
Bust a few rhymes so motherfuckers remember
Where the thought is, I brought all this
So you can survive when law is lawless 
(Right here)
Feelings, sensations that you thought was dead
No squealing and remember that it's all in your head

I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
The future is coming on
I ain't happy, I'm feeling glad
I got sunshine in a bag
I'm useless, but not for long
My future is coming on
It's coming on, it's coming on
It's coming on, it's coming on

My future is coming on
It's coming on, it's coming on
It's coming on, it's coming on
My future is coming on
It's coming on, it's coming on
It's coming on, it's coming on
My future is coming on
It's coming on, it's coming on
My future is coming on
It's coming on, it's coming on
My future is coming on
It's coming on, it's coming on
My future"
Bruno Mars,Locked Out of Heaven,2012,Alternative Rock,"(One, two, one, two, three)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

Never had much faith in love or miracles (Uh)
Never wanna put my heart on the line (Uh)
But swimmin' in your water's somethin' spiritual (Uh)
I'm born again every time you spend the night, —ight (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

You bring me to my knees, you make me testify (Uh)
You can make a sinner change his ways (Uh)
Open up your gates 'cause I can't wait to see the light (Uh)
And right there is where I wanna stay, —ay (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)"
Imagine Dragons,Enemy,2021,Alternative Rock,"Look out for yourself

I wake up to the sounds of the silence that allows
For my mind to run around, with my ear up to the ground
I'm searchin' to behold the stories that are told
When my back is to the world that was smilin' when I turned

Tell you you're the greatest
But once you turn, they hate us

Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
But I'm ready

Your words up on thе wall as you're prayin' for my fall
And the laughter in thе halls and the names that I've been called
I stack it in my mind, and I'm waitin' for the time
When I show you what it's like to be words spit in a mic

Tell you you're the greatest
But once you turn, they hate us (Ha)

Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy-y-y-y-y (Look, look, look, look)
(Look out for yourself)
My enemy-y-y-y-y (Look, look, look, look; yeah)
(Look out for yourself)

Uh, look, okay
I'm hopin' that somebody pray for me
I'm prayin' that somebody hope for me
I'm stayin' where nobody 'posed to be p-p-posted
Being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em, ""Hasta luego""
They wanna plot on my trot to the top
I been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc
On an opposition, kinda shockin' they wanted static
With precision, I'm automatic quarterback
I ain't talkin' sackin', pack it
Pack it up, I don't panic, batter-batter up
Who the baddest? It don't matter 'cause we at your throat

Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy
Oh, the misery (Ah)
Everybody wants to be my enemy
Spare the sympathy (Ah)
Everybody wants to be my enemy

Pray it away, I swear I'll never be a saint, no way
My enemy
Pray it away, I swear I'll never be a saint
(Look out for yourself)"
Imagine Dragons,Radioactive,2012,Alternative Rock,"Woah, oh, oh
Woah, oh, oh
Woah, oh, oh
Woah

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
Uhh, ahh

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Woah

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive
Woah-oh-oh, oh, oh, woah-oh-oh, oh, oh
I'm radioactive, radioactive"
Red Hot Chili Peppers,Under the Bridge,1991,Alternative Rock,"Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, The City of Angels
Lonely as I am, together we cry

I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
Yeah, yeah, yeah

It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love, the city, she loves me
Lonely as I am, together we cry

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way

Yeah, yeah, yeah
Oh, no, no-no, yeah, yeah
Love me, I say, yeah, yeah
(One time)

(Under the bridge downtown)
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away, yeah
Yeah, yeah (Away)
Oh, no, no-no-no, yeah, yeah (Away)
Oh, no, I said, yeah, yeah (Away)
Where I'll stay"
Taylor Swift,Fresh Out The Slammer,2024,Alternative Rock,"Now, pretty baby, I'm runnin' back home to you
Fresh out the slammer, I know who my first call will be to
(Fresh out the slammer, oh)

Another summer takin' cover, rolling thunder
He don't understand me
Splintered back in winter, silent dinners, bitter
He was with her in dreams

Gray and blue and fights and tunnels
Handcuffed to the spell I was under
For just one hour of sunshine
Years of labor, locks, and ceilings
In the shade of how he was feeling
But it's gonna be alright, I did my time

Now, pretty baby, I'm runnin' back home to you
Frеsh out the slammer, I know who my first call will be to
(Frеsh out the slammer, oh)

Camera flashes, welcome bashes, get the matches
Toss the ashes off the ledge
As I said in my letters, now that I know better
I will never lose my baby again

My friends tried, but I wouldn't hear it
Watch me daily disappearing
For just one glimpse of his smile
All those nights, he kept me goin'
Swirled you into all of my poems
Now we're at the starting line, I did my time

Now, pretty baby, I'm runnin'

To the house where you still wait up and that porch light gleams (Gleams)
To the one who says I'm the girl of his American dreams
And no matter what I've done, it wouldn't matter anyway
Ain't no way I'm gonna screw up now that I know what's at stake here
At the park where we used to sit on children's swings
Wearing imaginary rings

But it's gonna be alright, I did my time"
Linkin Park,Numb,2003,Alternative Rock,"I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
I don't know what you're expecting of me
Put under the pressure of walking in your shoes

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

Can't you see that you're smothering me?
Holding too tightly, afraid to lose control
'Cause everything that you thought I would be
Has fallen apart, right in front of you

Caught in the undertow, just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow
And every second I waste is more than I can take

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

And I know
I may end up failing too
But I know
You were just like me with someone disappointed in you

I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you

I've become so numb, I can't feel you there
I'm tired of being what you want me to be
I've become so numb, I can't feel you there
I'm tired of being what you want me to be"
Frank Ocean,Seigfried,2016,Alternative Rock,"The markings on your surface
Your speckled face
Flawed crystals hang from your ears
I couldn't gauge your fears
I can't relate to my peers
I'd rather live outside
I'd rather chip my pride than lose my mind out here
Maybe I'm a fool
Maybe I should move and settle
Two kids and a swimming pool
I'm not brave (Brave)
I'm not brave

I'm living over city
And taking in the homeless sometimes, I've
Been living in an idea
An idea from another man's mind
Maybe I'm a fool
To settle for a place with some nice views (Nice views)
Maybe I should move, settle down
Two kids and a swimming pool
I'm not brave
I'd rather live outside
I'd rather live outside
I'd rather go to jail
I've tried hell (It's a loop)
What would you recommend I do? (And the other side of the loop is a loop)
This, this fe—, this feel, this feel, this feels
This feels how molly must feel
This feels how molly must feel
How molly must feel
This feels how molly must feel
How molly must feel

This is not my life
It's just a fond farewell to a friend
It's just a fond farewell to a friend
This is not my life
It's just a fond farewell to a friend
It's not what I'm like
It's just a fond farewell (Brave)

Speaking of Nirvana, it was there
Rare as the feathers on my dash from a phoenix
There with my crooked teeth and companion sleeping, yeah
Dreaming a thought that could dream about a thought
That could think of the dreamer that thought
That could think of dreaming and getting a glimmer of God
I be dreaming of dreaming a thought
That could dream about a thought
That could think of dreaming a dream
Where I cannot, where I cannot

Less morose and more present
Dwell on my gifts for a second, a moment
One solar flare, we're consumed
So why not spend this flammable paper on the film that's my life?
High flights, inhale the vapor, exhale once and think twice
Eat some shrooms, maybe have a good cry about you
See some colors, light hang glide off the moon

In the dark, in the dark
I'd do anything for you (In the dark)
I'd do anything for you (In the dark)
I'd do anything for you (In the dark)
I'd do anything for you (In the dark)
I'd do anything for you, anything for you (In the dark)
I'd do anything for you, anything for you"
Hozier,Too Sweet,2024,Alternative Rock,"It can't be said I'm an early bird
It's 10 o'clock before I say a word
Baby, I can never tell
How do you sleep so well?
You keep tellin' me to live right
To go to bed before the daylight
But then you wake up for the sunrise
You know you don't gotta pretend
Baby, now and then
Don't you just wanna wake up, dark as a lake
Smellin' like a bonfire, lost in a haze?
If you're drunk on life, babe, I think it's great
But while in this world

I think I'll take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskеy neat
My coffee black and my bed at 3
You're too sweet for mе
You're too sweet for me

Ooh, ooh
Ooh, ooh

I aim low
I aim true, and the ground's where I go
I work late where I'm free from the phone
And the job gets done
But you worry some, I know
But who wants to live forever, babe?
You treat your mouth as if it's Heaven's gate
The rest of you like you're the TSA
I wish I could go along
Babe, don't get me wrong

You know you're bright as the morning, as soft as the rain
Pretty as a vine, as sweet as a grape
If you can sit in a barrel, maybe I'll wait
Until that day

I'd rather take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me

Woah, woah
Woah, woah
Woah, woah
Woah, woah

I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me"
Alanis Morissette,Ironic,1995,Alternative Rock,"Hey, yeah, yeah
Yeah, ah-ah-ah, yeah, hey

An old man turned ninety-eight
He won the lottery and died the next day
It's a black fly in your Chardonnay
It's a death row pardon two minutes too late

And isn't it ironic?
Don't you think?

It's like rain on your weddin' day
It's a free ride when you've already paid
It's the good advice that you just didn't take
And who would've thought? It figures

Mr. Play-It-Safe was afraid to fly
He packed his suitcase and kissed his kids goodbye-ye
He waited his whole damn life to take that flight
And as the plane crashed down, he thought, ""Well, isn't this nice?""

And isn't it ironic?
Don't you think?

It's like rain on your weddin' day
It's a free ride when you've already paid
It's the good advice that you just didn't take
And who would've thought? It figures

Well, life has a funny way of sneakin' up on you
When you think everything's okay and everything's goin' right
And life has a funny way of helpin' ya out
When you think everything's gone wrong and everything blows up in your face

A traffic jam when you're already late
A no-smoking sign on your cigarette break
It's like ten thousand spoons when all ya need is a knife
It's meeting the man of my dreams and then meeting his beautiful wife, hm

And isn't it ironic?
Don't you think?
A little too ironic
And, yeah, I really do think

It's like rain on your weddin' day
It's a free ride when you've already paid
It's the good advice that you just didn't take
And who would've thought? It figures

And, yeah, well, life has a funny way of sneaking up on you
And life has a funny, funny way of helpin' you out
Helpin' you out"
Lil Wayne,Sucker for Pain,2016,Alternative Rock,"I torture you
Take my hand through the flames
I torture you
I'm a slave to your games (I'm just a sucker for pain)
I wanna chain you up, I wanna tie you down
Ooh, I'm just a sucker for pain (Dolla $ign)

I'm a sucker for pain
I got the squad tatted on me from my neck to my ankles (My ankles)
Pressure from the man got us all in rebellion (Yeah)
We gon' go to war, yeah, without failure (Oh yeah)
Do it for the fam, dog, ten toes down, dog
Love and the loyalty, that's what we stand for (Uh-huh)
Alienated by society
All this pressure give me anxiety (Anxiety)
Walk slow through the fire
Like, who gon' try us?
Feelin' the world go against us ('Gainst us)
So we put the world on our shoulders

I torture you
Take my hand through the flames
I torture you
I'm a slave to your games (I'm just a sucker for pain)
I wanna chain you up, I wanna tie you down
Ooh, I'm just a sucker for pain

I been at it with my homies, it don't matter, you don't know me
I been rollin' with my team, we the illest on the scene
I been riding 'round the city with my squad
I been riding 'round the city with my squad
We just posted, getting crazy, livin' like this is so amazing
Hold up, take a step back when we roll up, 'cause I know what
We been loyal, we been fam, we the ones you trust in
Won't hesitate to go straight to your head like a concussion
I know I been bussin', no discussion for my family
No hesitation, through my scope I see my enemy
Like what's up? Hold up, we finna re-load up
Yes, I re-load up, I know what up, I know what up

I torture you
Take my hand through the flames
I torture you
I'm a slave to your games (I'm just a sucker for pain)
I wanna chain you up, I wanna tie you down
Ooh, I'm just a sucker for pain

I'm devoted to destruction
A full dosage of detrimental dysfunction
I'm dying slow, but the devil tryna rush me
See, I'm a fool for pain, I'm a dummy
Might cut my head off right after I slit my throat
Tongue kiss a shark, got jealous bitches up in the boat
Eatin' peanut butter and jelly fishes on toast
And if I get stung, I get stoked, might choke
Like I chewed a chunk of charcoal, naked in the North Pole
That's why my heart cold, full of sorrow, the lost soul
And only Lord knows when I'm coming to the crossroads
So I don't fear shit but tomorrow
And I'm a sucker for pain, it ain't nothin' but pain
You just fuckin' complain, you ain't tough as you claim
Just stay up in your lane, just don't fuck with Lil Wayne
I'ma jump from my plane or stand in front of a train
'Cause I'm a sucker for pain

Used to doing bad, now we feel like we just now gettin' it
Ain't got no other way, so we start it and finish it
No pain, no gain
Never stand down, made our own way
Never going slow, we pick up the pace
This is what we wanted from a young age
No emotion, that's what business is
Lord have mercy on the witnesses

I torture you
Take my hand through the flames
I torture you (Oh)
I'm just a sucker for pain

More pain
Got me beggin', beggin', beggin', beggin', beggin', beggin'
For more pain
Got me beggin', beggin', beggin', beggin', beggin', beggin'
For more pain
Got me beggin', beggin', beggin', beggin', beggin', beggin'
For more pain
Got me beggin'..."
Rihanna,Kiss It Better,2016,Alternative Rock,"Kiss it, kiss it better, baby
Kiss it, kiss it better, baby

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You yell, but you take me back
Who cares when it feels like crack?
Boy, you know that you always do it right

Man, fuck your pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You here, here to take me back
Who cares when it feels like crack?
Boy, you know that you always do it right

Man, fuck your pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

I've been waitin' up all night
Baby, tell me what's wrong
You're gonna make it right, make it all night long
I've been waiting up all night
Baby, tell me what's wrong
Going to make it right, make it all night long

Man, fuck your pride
Just take it on back, just take it on back, babe
Take it back all night
Just take it on back, take it on back
Mmm, do what you gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in your eye

What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
What are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you're willing to do
(Kiss it, kiss it better, baby)

Kiss it, kiss it better, baby
Kiss it, kiss it better, baby"
Taylor Swift,Clara Bow,2024,Alternative Rock,"""You look like Clara Bow
In this light, remarkable
All your life, did you know
You'd be picked like a rose?""

""I'm not trying to exaggerate
But I think I might die if it happened
Die if it happened to me
No one in my small town
Thought I'd see the lights of Manhattan""

""This town is fake, but you're the real thing
Breath of fresh air through smoke rings
Take the glory, give everything
Promise to be dazzling""

""You look like Stevie Nicks
In '75, the hair and lips
Crowd goes wild at her fingertips
Half moonshine, a full еclipse""

""I'm not trying to exaggeratе
But I think I might die if I made it, die if I made it
No one in my small town thought I'd meet these suits in L.A
.
They all wanna say...""

""This town is fake, but you're the real thing
Breath of fresh air through smoke rings
Take the glory, give everything
Promise to be dazzling
The crown is stained, but you're the real queen
Flesh and blood amongst war machines
You're the new god we're worshipping
Promise to be dazzling""

Beauty is a beast that roars down on all fours
Demanding more
Only when your girlish glow flickers just so
Do they let you know
It's hell on earth to be heavenly
Them's the breaks, they don't come gently

""You look like Taylor Swift
In this light, we're lovin' it
You've got edge, she never did
The future's bright, dazzling"""
Slipknot,Snuff,2009,Alternative Rock,"Bury all your secrets in my skin
Come away with innocence and leave me with my sins
The air around me still feels like a cage
And love is just a camouflage for what resembles rage again

So if you love me, let me go
And run away before I know
My heart is just too dark to care
I can't destroy what isn't there
Deliver me into my fate
If I'm alone, I cannot hate
I don't deserve to have you
Ooh, my smile was taken long ago
If I can change, I hope I never know

I still press your letters to my lips
And cherish them in parts of me that savor every kiss
I couldn't face a life without your light (Without your light)
But all of that was ripped apart when you refused to fight

So save your breath, I will not care
I think I made it very clear
You couldn't hate enough to love
Is that supposed to be enough?
I only wish you weren't my friend
Then I could hurt you in the end
I never claimed to be a saint
Ooh, my love was banished long ago
It took the death of hope to let you go

Oh, oh

So break yourself against my stones
And spit your pity in my soul
You never needed any help
You sold me out to save yourself
And I won't listen to your shame
You ran away, you're all the same
Angels lie to keep control
Ooh, my love was punished long ago
If you still care, don't ever let me know
If you still care, don't ever let me know"
Oasis,Champagne Supernova,1995,Alternative Rock,"How many special people change?
How many lives are living strange?
Where were you while we were gettin' high?
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova in the sky

Wake up the dawn and ask her why
A dreamer dreams she never dies
Wipe that tear away now from your eye
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday, you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova

'Cause people believe
That they're gonna get away for the summer
But you and I, we live and die
The world's still spinnin' 'round; we don't know why
Why? Why? Why? Why?


How many special people change?
How many lives are livin' strange?
Where were you while we were gettin' high?
Slowly walking down the hall
Faster than a cannonball
Where were you while we were gettin' high?

Someday, you will find me caught beneath the landslide
In a champagne supernova in the sky
Someday, you will find me caught beneath the landslide
In a champagne supernova, a champagne supernova

'Cause people believe
That they're gonna get away for the summer (C'mon!)
But you and I, we live and die
The world's still spinnin' 'round, we don't know why
Why? Why? Why? Why?


Na, na, na (Hoo)
Na, na, na, na (Hoo)
Na, na, na (Hoo)
Na, na, na, na (Hoo)
Na, na (Hoo, hoo)
Na, na (Hoo, hoo)
Na, na, na (Hoo, hoo, hoo)

How many special people change?
How many lives are living strange?
Where were you while we were getting high? (Hoo)
We were gettin' high
We were gettin' high (Hoo)
We were getting high
We were gettin' high (Hoo)
We were gettin' high
We were getting high (Hoo)
We were getting high
We were gettin' high (Hoo)
We were gettin' high
(Hoo)"
